[2018-04-26 07:52:14 365842] retcode: 1102, selector: 0
[2018-04-26 07:52:14 735429] retcode: 1102, selector: 0
[2018-04-26 07:52:15 085143] retcode: 1102, selector: 0
[2018-04-26 07:52:15 423134] retcode: 1102, selector: 0
[2018-04-26 07:52:15 737764] retcode: 1102, selector: 0
[2018-04-26 07:52:16 045273] retcode: 1102, selector: 0
[2018-04-26 07:52:16 349531] retcode: 1102, selector: 0
[2018-04-26 07:52:16 645032] retcode: 1102, selector: 0
[2018-04-26 07:52:16 935907] retcode: 1102, selector: 0
[2018-04-26 07:52:17 243396] retcode: 1102, selector: 0
[2018-04-26 07:52:17 581812] retcode: 1102, selector: 0
[2018-04-26 07:52:17 928849] retcode: 1102, selector: 0
[2018-04-26 07:52:18 275793] retcode: 1102, selector: 0
[2018-04-26 07:52:18 629387] retcode: 1102, selector: 0
[2018-04-26 07:52:18 979978] retcode: 1102, selector: 0
[2018-04-26 07:52:19 326792] retcode: 1102, selector: 0
[2018-04-26 07:52:19 684145] retcode: 1102, selector: 0
[2018-04-26 07:52:20 054356] retcode: 1102, selector: 0
[2018-04-26 07:52:20 421741] retcode: 1102, selector: 0
[2018-04-26 07:52:20 761974] retcode: 1102, selector: 0
[2018-04-26 07:52:21 086827] retcode: 1102, selector: 0
[2018-04-26 07:52:21 394526] retcode: 1102, selector: 0
[2018-04-26 07:52:21 687862] retcode: 1102, selector: 0
[2018-04-26 07:52:21 987481] retcode: 1102, selector: 0
[2018-04-26 07:52:22 297357] retcode: 1102, selector: 0
[2018-04-26 07:52:22 633807] retcode: 1102, selector: 0
[2018-04-26 07:52:22 986629] retcode: 1102, selector: 0
[2018-04-26 07:52:23 314617] retcode: 1102, selector: 0
[2018-04-26 07:52:23 607819] retcode: 1102, selector: 0
[2018-04-26 07:52:23 903745] retcode: 1102, selector: 0
[2018-04-26 07:52:24 233061] retcode: 1102, selector: 0
[2018-04-26 07:52:24 553764] retcode: 1102, selector: 0
[2018-04-26 07:52:24 879621] retcode: 1102, selector: 0
[2018-04-26 07:52:25 202734] retcode: 1102, selector: 0
[2018-04-26 07:52:25 513090] retcode: 1102, selector: 0
[2018-04-26 07:52:25 850944] retcode: 1102, selector: 0
[2018-04-26 07:52:26 195994] retcode: 1102, selector: 0
[2018-04-26 07:52:26 554067] retcode: 1102, selector: 0
[2018-04-26 07:52:26 883460] retcode: 1102, selector: 0
[2018-04-26 07:52:27 194347] retcode: 1102, selector: 0
[2018-04-26 07:52:27 503819] retcode: 1102, selector: 0
[2018-04-26 07:52:27 810231] retcode: 1102, selector: 0
[2018-04-26 07:52:28 139978] retcode: 1102, selector: 0
[2018-04-26 07:52:28 476359] retcode: 1102, selector: 0
[2018-04-26 07:52:28 796805] retcode: 1102, selector: 0
[2018-04-26 07:52:29 087325] retcode: 1102, selector: 0
[2018-04-26 07:52:29 385760] retcode: 1102, selector: 0
[2018-04-26 07:52:29 700004] retcode: 1102, selector: 0
[2018-04-26 07:52:30 020295] retcode: 1102, selector: 0
[2018-04-26 07:52:30 332150] retcode: 1102, selector: 0
[2018-04-26 07:52:30 625148] retcode: 1102, selector: 0
[2018-04-26 07:52:30 919959] retcode: 1102, selector: 0
[2018-04-26 07:52:31 239308] retcode: 1102, selector: 0
[2018-04-26 07:52:31 558256] retcode: 1102, selector: 0
[2018-04-26 07:52:31 880283] retcode: 1102, selector: 0
[2018-04-26 07:52:32 197483] retcode: 1102, selector: 0
[2018-04-26 07:52:32 512651] retcode: 1102, selector: 0
[2018-04-26 07:52:32 834565] retcode: 1102, selector: 0
[2018-04-26 07:52:33 154116] retcode: 1102, selector: 0
[2018-04-26 07:52:33 497323] retcode: 1102, selector: 0
[2018-04-26 07:52:33 839328] retcode: 1102, selector: 0
[2018-04-26 07:52:34 189520] retcode: 1102, selector: 0
[2018-04-26 07:52:34 520977] retcode: 1102, selector: 0
[2018-04-26 07:52:34 846934] retcode: 1102, selector: 0
[2018-04-26 07:52:35 172994] retcode: 1102, selector: 0
[2018-04-26 07:52:35 475481] retcode: 1102, selector: 0
[2018-04-26 07:52:35 822870] retcode: 1102, selector: 0
[2018-04-26 07:52:36 192979] retcode: 1102, selector: 0
[2018-04-26 07:52:36 522515] retcode: 1102, selector: 0
[2018-04-26 07:52:36 831067] retcode: 1102, selector: 0
[2018-04-26 07:52:37 146218] retcode: 1102, selector: 0
[2018-04-26 07:52:37 463031] retcode: 1102, selector: 0
[2018-04-26 07:52:37 778991] retcode: 1102, selector: 0
[2018-04-26 07:52:38 119097] retcode: 1102, selector: 0
[2018-04-26 07:52:38 477952] retcode: 1102, selector: 0
[2018-04-26 07:52:38 830809] retcode: 1102, selector: 0
[2018-04-26 07:52:39 155904] retcode: 1102, selector: 0
[2018-04-26 07:52:39 458679] retcode: 1102, selector: 0
[2018-04-26 07:52:39 765586] retcode: 1102, selector: 0
[2018-04-26 07:52:40 107954] retcode: 1102, selector: 0
[2018-04-26 07:52:40 446184] retcode: 1102, selector: 0
[2018-04-26 07:52:40 753828] retcode: 1102, selector: 0
[2018-04-26 07:52:41 073601] retcode: 1102, selector: 0
[2018-04-26 07:52:41 392655] retcode: 1102, selector: 0
[2018-04-26 07:52:41 723008] retcode: 1102, selector: 0
[2018-04-26 07:52:42 045795] retcode: 1102, selector: 0
[2018-04-26 07:52:42 344496] retcode: 1102, selector: 0
[2018-04-26 07:52:42 666327] retcode: 1102, selector: 0
[2018-04-26 07:52:42 989545] retcode: 1102, selector: 0
[2018-04-26 07:52:43 284987] retcode: 1102, selector: 0
[2018-04-26 07:52:43 611023] retcode: 1102, selector: 0
[2018-04-26 07:52:43 972605] retcode: 1102, selector: 0
[2018-04-26 07:52:44 310509] retcode: 1102, selector: 0
[2018-04-26 07:52:44 638812] retcode: 1102, selector: 0
[2018-04-26 07:52:44 952710] retcode: 1102, selector: 0
[2018-04-26 07:52:45 242568] retcode: 1102, selector: 0
[2018-04-26 07:52:45 573217] retcode: 1102, selector: 0
[2018-04-26 07:52:45 913647] retcode: 1102, selector: 0
[2018-04-26 07:52:46 220869] retcode: 1102, selector: 0
[2018-04-26 07:52:46 531100] retcode: 1102, selector: 0
[2018-04-26 07:52:46 847108] retcode: 1102, selector: 0
[2018-04-26 07:52:47 169274] retcode: 1102, selector: 0
[2018-04-26 07:52:47 507043] retcode: 1102, selector: 0
[2018-04-26 07:52:47 858468] retcode: 1102, selector: 0
[2018-04-26 07:52:48 208934] retcode: 1102, selector: 0
[2018-04-26 07:52:48 546851] retcode: 1102, selector: 0
[2018-04-26 07:52:48 890236] retcode: 1102, selector: 0
[2018-04-26 07:52:49 238496] retcode: 1102, selector: 0
[2018-04-26 07:52:49 556740] retcode: 1102, selector: 0
[2018-04-26 07:52:49 871800] retcode: 1102, selector: 0
[2018-04-26 07:52:50 215681] retcode: 1102, selector: 0
[2018-04-26 07:52:50 559291] retcode: 1102, selector: 0
[2018-04-26 07:52:50 884327] retcode: 1102, selector: 0
[2018-04-26 07:52:51 207598] retcode: 1102, selector: 0
[2018-04-26 07:52:51 538923] retcode: 1102, selector: 0
[2018-04-26 07:52:51 852492] retcode: 1102, selector: 0
[2018-04-26 07:52:52 151428] retcode: 1102, selector: 0
[2018-04-26 07:52:52 447267] retcode: 1102, selector: 0
[2018-04-26 07:52:52 767509] retcode: 1102, selector: 0
[2018-04-26 07:52:53 094610] retcode: 1102, selector: 0
[2018-04-26 07:52:53 438592] retcode: 1102, selector: 0
[2018-04-26 07:52:53 801381] retcode: 1102, selector: 0
[2018-04-26 07:52:54 121179] retcode: 1102, selector: 0
[2018-04-26 07:52:54 413154] retcode: 1102, selector: 0
[2018-04-26 07:52:54 711156] retcode: 1102, selector: 0
[2018-04-26 07:52:55 009832] retcode: 1102, selector: 0
[2018-04-26 07:52:55 319814] retcode: 1102, selector: 0
[2018-04-26 07:52:55 635068] retcode: 1102, selector: 0
[2018-04-26 07:52:55 945079] retcode: 1102, selector: 0
[2018-04-26 07:52:56 286063] retcode: 1102, selector: 0
[2018-04-26 07:52:56 629945] retcode: 1102, selector: 0
[2018-04-26 07:52:56 963568] retcode: 1102, selector: 0
[2018-04-26 07:52:57 295581] retcode: 1102, selector: 0
[2018-04-26 07:52:57 600468] retcode: 1102, selector: 0
[2018-04-26 07:52:57 894461] retcode: 1102, selector: 0
[2018-04-26 07:52:58 189770] retcode: 1102, selector: 0
[2018-04-26 07:52:58 504046] retcode: 1102, selector: 0
[2018-04-26 07:52:58 825272] retcode: 1102, selector: 0
[2018-04-26 07:52:59 137649] retcode: 1102, selector: 0
[2018-04-26 07:52:59 439925] retcode: 1102, selector: 0
[2018-04-26 07:52:59 738859] retcode: 1102, selector: 0
[2018-04-26 07:53:00 046900] retcode: 1102, selector: 0
[2018-04-26 07:53:00 352827] retcode: 1102, selector: 0
[2018-04-26 07:53:00 666033] retcode: 1102, selector: 0
[2018-04-26 07:53:00 986475] retcode: 1102, selector: 0
[2018-04-26 07:53:01 313855] retcode: 1102, selector: 0
[2018-04-26 07:53:01 661634] retcode: 1102, selector: 0
